tc_id,username,new_password,first_name,last_name,email,expected_results
TC_003_056,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,Van,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,van@gmail.com,Maximum of 128 characters
TC_003_057,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,Van,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,a@a..com,Maximum of 128 characters
TC_003_058,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,Huynh,v@gmail.com,Maximum of 128 characters
TC_003_059,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,Huynh,invalid-email,Maximum of 128 characters
TC_003_060,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,invalid-email@gmail.com,Maximum of 128 characters
TC_003_061,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3fa,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,ghf4zi71z42ug1t2wwkmcutgbdwuqz1q3viy2rp4vpjgi1s0m78kdam0wbuxe3g6sc1q5t1t4bnl6258543v3i0kind1c9vdr90bynrs9prhuy4l4gv4c58x9gne2z3f,invalid-email,Maximum of 128 characters
TC_003_062,user62,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,a,#,user62@a.a,Maximum of 128 characters
TC_003_063,user63,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,a,#,user63,Maximum of 128 characters
TC_003_064,user64,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,a,,user64@gmail.com,Maximum of 128 characters; Missing last name
TC_003_065,user65,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,a,,user65@gmail,Maximum of 128 characters; Missing last name
TC_003_066,user66,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,,a,user66@gmail.com,Maximum of 128 characters; Missing given name
TC_003_067,user67,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,,a,user67,Maximum of 128 characters; Missing given name
TC_003_068,user68,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,,,user68@gmail.com,Maximum of 128 characters; Missing given name; Missing last name
TC_003_069,user69,dxpusmyxfxsmica1pcp4rz6xen9iamgsce5r333337bzimr9iqw49goq8dl24gwv2maq2ujarmor3mdh5t36o3txaeem6beqes8zozzom4fmpb5lvw9svq1m943yacara,,,b,Maximum of 128 characters; Missing given name; Missing last name
TC_003_070,user70,123ABC@abc,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,mai,mai@hcmut.edu.vn,Error writing to database
TC_003_071,user71,123ABC@abc,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,mai,mai@gmail,Invalid email address
TC_003_072,user72,123ABC@abc,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,mai@gmail.com,Error writing to database
TC_003_073,user73,123ABC@abc,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,mai,Invalid email address
TC_003_074,user74,123ABC@abc,phong,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,phong@gmail.com,Error writing to database
TC_003_075,user75,123ABC@abc,phong,q4axsinadqvm2l9sx11knx1zjl142471fjq83oft95wwju55k2wkf7ntzyxghwluy4zan0l3ajuq77wq36l54x1kw4gklc6zzw4yq4bpd721edc2r9gqbtzwt7od4xe0,phong,Invalid email address
TC_003_076,user76,123ABC@abc,phong,nhac,phong,Invalid email address
